"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"H.R. 6136",https://www.congress.gov/bill/115th-congress/house-bill/6136,"115th Congress (2017-2018)","Border Security and Immigration Reform Act of 2018",Republican,06/19/2018
"S. 1872",https://www.congress.gov/bill/115th-congress/senate-bill/1872,"115th Congress (2017-2018)","TSA Modernization Act",Republican,09/27/2017
"H.R. 244",https://www.congress.gov/bill/115th-congress/house-bill/244,"115th Congress (2017-2018)","Consolidated Appropriations Act, 2017",Republican,01/04/2017
"H.R. 3354",https://www.congress.gov/bill/115th-congress/house-bill/3354,"115th Congress (2017-2018)","Interior and Environment, Agriculture and Rural Development, Commerce, Justice, Science, Financial Services and General Government, Homeland Security, Labor, Health and Human Services, Education, State and Foreign Operations, Transportation, Housing and Urban Development, Defense, Military Construction and Veterans Affairs, Legislative Branch, and Energy and Water Development Appropriations Act, 2018",Republican,07/21/2017
"H.R. 1625",https://www.congress.gov/bill/115th-congress/house-bill/1625,"115th Congress (2017-2018)","Consolidated Appropriations Act, 2018",Republican,03/20/2017
"H.Res. 1082",https://www.congress.gov/bill/115th-congress/house-resolution/1082,"115th Congress (2017-2018)","FAA Reauthorization Act of 2018",Republican,09/26/2018
"H.R. 302",https://www.congress.gov/bill/115th-congress/house-bill/302,"115th Congress (2017-2018)","FAA Reauthorization Act of 2018",Republican,01/05/2017
"H.R. 6063",https://www.congress.gov/bill/115th-congress/house-bill/6063,"115th Congress (2017-2018)","To enact certain existing laws relating to domestic security as title 6, United States Code, ""Domestic Security"", and to make technical amendments to improve the United States Code.",Republican,06/08/2018
"H.Res. 289",https://www.congress.gov/bill/114th-congress/house-resolution/289,"114th Congress (2015-2016)","Expressing the sense of the House of Representatives that gun violence is a public health issue and Congress should enact by the end of the 114th Congress comprehensive Federal legislation that protects the Second Amendment and keeps communities safe and healthy, including expanding enforceable background checks for all commercial gun sales, improving the mental health system in the United States, and making gun trafficking and straw purchasing a Federal crime.",Democratic,06/02/2015
"H.Res. 753",https://www.congress.gov/bill/114th-congress/house-resolution/753,"114th Congress (2015-2016)","Expressing support for the designation of June 2, 2016, as ""National Gun Violence Awareness Day"" and June 2016 as ""National Gun Violence Awareness Month"".",Democratic,05/25/2016
"S.Res. 478",https://www.congress.gov/bill/114th-congress/senate-resolution/478,"114th Congress (2015-2016)","A resolution expressing support for the designation of June 2, 2016, as ""National Gun Violence Awareness Day"" and June 2016 as ""National Gun Violence Awareness Month"".",Democratic,05/25/2016
"H.Res. 473",https://www.congress.gov/bill/114th-congress/house-resolution/473,"114th Congress (2015-2016)","Expressing support for the designation of June as National Gun Violence Awareness Month and calling on Congress to address gun violence.",Democratic,10/08/2015
"H.R. 47",https://www.congress.gov/bill/114th-congress/house-bill/47,"114th Congress (2015-2016)","To ensure secure gun storage and gun safety devices.",Democratic,01/06/2015
"H.R. 2380",https://www.congress.gov/bill/114th-congress/house-bill/2380,"114th Congress (2015-2016)","Gun Show Loophole Closing Act of 2015",Democratic,05/15/2015
"H.Res. 467",https://www.congress.gov/bill/114th-congress/house-resolution/467,"114th Congress (2015-2016)","Establishing the Select Committee on Gun Violence Prevention.",Democratic,10/08/2015
"H.R. 3926",https://www.congress.gov/bill/114th-congress/house-bill/3926,"114th Congress (2015-2016)","Gun Violence Research Act",Democratic,11/04/2015
"H.R. 4278",https://www.congress.gov/bill/114th-congress/house-bill/4278,"114th Congress (2015-2016)","Safer Neighborhoods Gun Buyback Act of 2015",Democratic,12/16/2015
"H.Res. 541",https://www.congress.gov/bill/114th-congress/house-resolution/541,"114th Congress (2015-2016)","Expressing support for designation of June 2016 as ""National Gun Violence Awareness Month"".",Democratic,11/30/2015
"H.R. 2374",https://www.congress.gov/bill/114th-congress/house-bill/2374,"114th Congress (2015-2016)","Detectives Nemorin, Andrews and Moore Anti-Gun Trafficking Act of 2015",Republican,05/15/2015
"H.R. 5863",https://www.congress.gov/bill/114th-congress/house-bill/5863,"114th Congress (2015-2016)","SMART Guns Act of 2016",Democratic,07/14/2016
"H.R. 3455",https://www.congress.gov/bill/114th-congress/house-bill/3455,"114th Congress (2015-2016)","Gun Trafficking Prevention Act of 2015",Democratic,09/09/2015
"S. 1977",https://www.congress.gov/bill/114th-congress/senate-bill/1977,"114th Congress (2015-2016)","Gun Violence Intervention Act of 2015",Democratic,08/05/2015
"H.R. 3830",https://www.congress.gov/bill/114th-congress/house-bill/3830,"114th Congress (2015-2016)","Reducing Gun Violence in our Neighborhoods Act of 2015",Democratic,10/26/2015
"H.R. 3853",https://www.congress.gov/bill/114th-congress/house-bill/3853,"114th Congress (2015-2016)","Gun Dealer Accountability Act",Democratic,10/28/2015
"H.R. 3569",https://www.congress.gov/bill/114th-congress/house-bill/3569,"114th Congress (2015-2016)","Good Neighbor Gun Dealer Act",Democratic,09/18/2015
"H.R. 4316",https://www.congress.gov/bill/114th-congress/house-bill/4316,"114th Congress (2015-2016)","Gun Violence Reduction Resources Act of 2016",Democratic,01/05/2016
"H.R. 4315",https://www.congress.gov/bill/114th-congress/house-bill/4315,"114th Congress (2015-2016)","Mental Health Access and Gun Violence Prevention Act of 2016",Democratic,01/05/2016
"H.R. 5080",https://www.congress.gov/bill/114th-congress/house-bill/5080,"114th Congress (2015-2016)","Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2016",Democratic,04/27/2016
"H.R. 4145",https://www.congress.gov/bill/114th-congress/house-bill/4145,"114th Congress (2015-2016)","To require the Comptroller General of the United States to conduct a study of, and report to the Congress on, secure gun storage or safety devices.",Democratic,12/01/2015
"S. 1760",https://www.congress.gov/bill/114th-congress/senate-bill/1760,"114th Congress (2015-2016)","Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2015",Democratic,07/14/2015
"S. 2802",https://www.congress.gov/bill/114th-congress/senate-bill/2802,"114th Congress (2015-2016)","Protecting Gun Rights and Due Process Act",Republican,04/14/2016
"H.Con.Res. 59",https://www.congress.gov/bill/114th-congress/house-concurrent-resolution/59,"114th Congress (2015-2016)","Expressing support for designation of June 21 as National ASK (Asking Saves Kids) Day to promote children's health and gun safety.",Democratic,06/25/2015
"H.R. 2612",https://www.congress.gov/bill/114th-congress/house-bill/2612,"114th Congress (2015-2016)","To authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.",Democratic,06/02/2015
"H.R. 4399",https://www.congress.gov/bill/114th-congress/house-bill/4399,"114th Congress (2015-2016)","Equal Access to Justice for Victims of Gun Violence Act",Democratic,02/01/2016
"H.R. 224",https://www.congress.gov/bill/114th-congress/house-bill/224,"114th Congress (2015-2016)","To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.",Democratic,01/08/2015
"S. 1473",https://www.congress.gov/bill/114th-congress/senate-bill/1473,"114th Congress (2015-2016)","A bill to authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.",Democratic,06/02/2015
"H.R. 4379",https://www.congress.gov/bill/114th-congress/house-bill/4379,"114th Congress (2015-2016)","Defending Gun Rights Against Executive Overreach Act",Republican,01/13/2016
"H.R. 4214",https://www.congress.gov/bill/114th-congress/house-bill/4214,"114th Congress (2015-2016)","Gun Violence Prevention and Safe Communities Act of 2015",Democratic,12/10/2015
"H.R. 4356",https://www.congress.gov/bill/114th-congress/house-bill/4356,"114th Congress (2015-2016)","Crackdown on Deadbeat Gun Dealers Act of 2016",Democratic,01/08/2016
"H.R. 4069",https://www.congress.gov/bill/114th-congress/house-bill/4069,"114th Congress (2015-2016)","No Guns for Terrorists Act of 2015",Democratic,11/18/2015
"S. 2934",https://www.congress.gov/bill/114th-congress/senate-bill/2934,"114th Congress (2015-2016)","Fix Gun Checks Act of 2016",Democratic,05/16/2016
"H.R. 3411",https://www.congress.gov/bill/114th-congress/house-bill/3411,"114th Congress (2015-2016)","Fix Gun Checks Act of 2015",Democratic,07/29/2015
"H.R. 1488",https://www.congress.gov/bill/114th-congress/house-bill/1488,"114th Congress (2015-2016)","Protecting Gun Owners in Bankruptcy Act of 2015",Republican,03/19/2015
"H.R. 1858",https://www.congress.gov/bill/114th-congress/house-bill/1858,"114th Congress (2015-2016)","Crime Gun Tracing Act",Democratic,04/16/2015
"H.R. 2871",https://www.congress.gov/bill/114th-congress/house-bill/2871,"114th Congress (2015-2016)","Keeping Guns From Criminals Act",Democratic,06/24/2015
"H.R. 3813",https://www.congress.gov/bill/114th-congress/house-bill/3813,"114th Congress (2015-2016)","Domestic Violence Gun Homicide Prevention Act of 2015",Democratic,10/22/2015
"H.Res. 694",https://www.congress.gov/bill/114th-congress/house-resolution/694,"114th Congress (2015-2016)","Amending the Rules of the House of Representatives to require that a standing committee (or subcommittee thereof) hearing be held whenever there is a moment of silence in the House for a tragedy involving gun violence.",Democratic,04/20/2016
"S. 2198",https://www.congress.gov/bill/114th-congress/senate-bill/2198,"114th Congress (2015-2016)","Domestic Violence Gun Homicide Prevention Act of 2015",Democratic,10/22/2015
"S. 1529",https://www.congress.gov/bill/114th-congress/senate-bill/1529,"114th Congress (2015-2016)","Crime Gun Tracing Act of 2015",Democratic,06/09/2015
"H.R. 3224",https://www.congress.gov/bill/114th-congress/house-bill/3224,"114th Congress (2015-2016)","Gun Look-Alike Case Act",Democratic,07/27/2015
"H.R. 5532",https://www.congress.gov/bill/114th-congress/house-bill/5532,"114th Congress (2015-2016)","Unlawful Gun Buyer Alert Act",Democratic,06/20/2016
"H.R. 6052",https://www.congress.gov/bill/114th-congress/house-bill/6052,"114th Congress (2015-2016)","Preventing Gun Violence Act",Democratic,09/15/2016
"H.R. 5965",https://www.congress.gov/bill/114th-congress/house-bill/5965,"114th Congress (2015-2016)","Campus Gun Policy Transparency Act",Democratic,09/08/2016
"H.R. 2939",https://www.congress.gov/bill/114th-congress/house-bill/2939,"114th Congress (2015-2016)","Enforce Existing Gun Laws Act",Democratic,06/25/2015
"H.R. 226",https://www.congress.gov/bill/114th-congress/house-bill/226,"114th Congress (2015-2016)","Keeping Guns from High Risk Individuals Act",Democratic,01/08/2015
"H.R. 368",https://www.congress.gov/bill/114th-congress/house-bill/368,"114th Congress (2015-2016)","Safe and Responsible Gun Transfer Act",Democratic,01/14/2015
"S. 2594",https://www.congress.gov/bill/114th-congress/senate-bill/2594,"114th Congress (2015-2016)","A bill to provide for the discoverability and admissibility of gun trace information in civil proceedings.",Democratic,02/25/2016
"H.Res. 656",https://www.congress.gov/bill/114th-congress/house-resolution/656,"114th Congress (2015-2016)","Expressing the sense of the House of Representatives that the Senate should not confirm a nominee to the United States Supreme Court whose professional record or statements display opposition to the Second Amendment freedoms of law-abiding gun owners, including the fundamental, individual right to keep and bear arms as affirmed in the District of Columbia et al. v. Heller and McDonald et al. v. City of Chicago, Illinois, et al. cases.",Republican,03/21/2016
"H.R. 307",https://www.congress.gov/bill/114th-congress/house-bill/307,"114th Congress (2015-2016)","Buyback Our Safety Act",Democratic,01/13/2015
"H.R. 5671",https://www.congress.gov/bill/114th-congress/house-bill/5671,"114th Congress (2015-2016)","Urban Progress Act of 2016",Democratic,07/07/2016
"H.R. 410",https://www.congress.gov/bill/114th-congress/house-bill/410,"114th Congress (2015-2016)","Pause for Safety Act of 2015",Democratic,01/20/2015
"H.R. 4905",https://www.congress.gov/bill/114th-congress/house-bill/4905,"114th Congress (2015-2016)","ATF Enforcement Act",Democratic,04/12/2016
"H.R. 86",https://www.congress.gov/bill/114th-congress/house-bill/86,"114th Congress (2015-2016)","Safe Students Act",Republican,01/06/2015
"S. 213",https://www.congress.gov/bill/114th-congress/senate-bill/213,"114th Congress (2015-2016)","Look-Alike Weapons Safety Act of 2015",Democratic,01/21/2015
"H.R. 3130",https://www.congress.gov/bill/114th-congress/house-bill/3130,"114th Congress (2015-2016)","Zero Tolerance for Domestic Abusers Act",Democratic,07/21/2015
"H.R. 3799",https://www.congress.gov/bill/114th-congress/house-bill/3799,"114th Congress (2015-2016)","Hearing Protection Act of 2015",Republican,10/22/2015
"S. 2236",https://www.congress.gov/bill/114th-congress/senate-bill/2236,"114th Congress (2015-2016)","Hearing Protection Act of 2015",Republican,11/04/2015
"S. 1738",https://www.congress.gov/bill/114th-congress/senate-bill/1738,"114th Congress (2015-2016)","Safer Communities Act of 2015",Democratic,07/09/2015
"H.R. 2994",https://www.congress.gov/bill/114th-congress/house-bill/2994,"114th Congress (2015-2016)","Safer Communities Act of 2015",Democratic,07/09/2015
"H.Res. 731",https://www.congress.gov/bill/114th-congress/house-resolution/731,"114th Congress (2015-2016)","Expressing the sense of the House of Representatives that mandates imposed on manufacturers requiring inclusion of unproven and unreliable technology in firearms is costly and punitive, and the prohibition of firearms without such features is an infringement on the rights of citizens under the Second Amendment.",Republican,05/16/2016
"H.R. 376",https://www.congress.gov/bill/114th-congress/house-bill/376,"114th Congress (2015-2016)","Home-Assembled Firearms Restriction Act of 2015",Democratic,01/14/2015
"H.R. 4951",https://www.congress.gov/bill/114th-congress/house-bill/4951,"114th Congress (2015-2016)","To amend chapter 44 of title 18, United States Code, to allow the importation of certain foreign-manufactured firearms components.",Republican,04/14/2016
