Date of Introduction,Sentiment Score
2009-01-07,0.9993
2009-01-08,0.986
2009-01-09,0.992
2009-01-22,1.0
2009-02-12,-1.0
2009-02-13,0.9222
2009-02-23,1.0
2009-03-04,0.9675
2009-03-05,0.9989
2009-03-10,0.9191
2009-03-11,0.9956
2009-03-16,-0.9779
2009-03-18,0.911
2009-03-26,-1.0
2009-03-27,1.0
2009-03-30,0.9511
2009-04-21,-0.9993
2009-04-27,-0.9963
2009-04-30,0.9978
2009-05-07,-0.9984
2009-06-02,1.0
2009-06-12,-1.0
2009-06-17,0.2846
2009-06-19,-0.875
2009-06-24,0.9736
2009-06-26,0.9998
2009-07-02,0.7003
2009-07-10,0.9922
2009-07-22,1.0
2009-07-27,0.8789
2009-08-06,0.9894
2009-09-17,1.0
2009-09-22,1.0
2009-10-13,0.9894
2009-10-20,0.9953
2009-10-21,0.9953
2009-10-29,0.8954
2009-11-03,-0.9994
2009-12-11,-0.9983
2010-01-21,-0.9719
2010-02-24,0.978
2010-03-24,0.9803
2010-04-21,-0.9875
2010-04-26,1.0
2010-04-27,-0.978
2010-04-28,0.9963
2010-04-29,1.0
2010-05-18,0.9874
2010-06-04,1.0
2010-06-14,-0.9601
2010-06-24,1.0
2010-07-01,0.995
2010-07-19,0.9699
2010-07-22,0.9841
2010-07-26,-0.9875
2010-07-27,0.9811
2010-08-02,1.0
2010-09-15,-0.9468
2010-09-22,1.0
2010-09-29,0.5454
2010-12-15,1.0
2011-01-05,0.9759
2011-01-07,-0.9973
2011-01-20,0.9896
2011-01-25,0.992
2011-01-26,0.9925
2011-02-09,-0.9984
2011-02-10,-0.978
2011-02-15,-0.9881
2011-02-18,0.9789
2011-02-28,0.4019
2011-03-02,-0.9904
2011-03-10,0.9994
2011-03-15,0.9897
2011-03-16,0.978
2011-03-17,0.9811
2011-03-30,0.9898
2011-03-31,0.9898
2011-04-01,-0.9948
2011-04-12,0.9945
2011-04-14,1.0
2011-05-05,-0.9928
2011-05-09,0.9999
2011-05-10,-1.0
2011-05-12,1.0
2011-05-13,0.9904
2011-05-23,1.0
2011-05-31,1.0
2011-06-01,-0.9779
2011-06-03,1.0
2011-06-21,-0.9961
2011-06-22,1.0
2011-06-23,0.9989
2011-07-15,0.9996
2011-07-20,-0.9948
2011-07-21,0.9736
2011-07-30,0.9874
2011-08-30,1.0
2011-09-15,1.0
2011-09-29,1.0
2011-10-06,0.993
2011-10-11,-0.9636
2011-10-12,0.9759
2011-11-15,0.7003
2011-12-01,0.9609
2011-12-07,-0.9982
2011-12-08,0.9995
2011-12-12,-0.9966
2011-12-14,-0.9856
2011-12-16,0.2732
2012-02-01,-0.9936
2012-02-09,1.0
2012-02-16,0.6597
2012-03-19,0.987
2012-03-27,-0.9595
2012-03-29,1.0
2012-03-30,-0.9936
2012-04-16,1.0
2012-04-19,1.0
2012-04-24,0.9992
2012-05-18,0.987
2012-06-04,0.7003
2012-06-14,1.0
2012-06-27,-0.9934
