Classification,Sentiment Scores
control,-0.9797
control,-0.986
control,-0.9998
control,0.8495
control,-0.9726
control,-0.9726
control,-0.9906
control,-0.9998
control,-0.8658
control,-0.9998
control,0.9998
control,-0.9287
control,-0.9994
control,-0.9994
control,-0.9843
control,-0.9933
control,0.8869
control,0.8869
control,-0.9962
control,-0.2808
control,0.9645
control,-0.984
control,0.6808
control,0.7242
control,-0.8788
control,0.9807
control,-0.9457
control,-0.5994
control,0.8658
control,-0.9434
control,-0.9936
control,0.228
control,-0.9888
control,0.9712
control,0.9875
control,0.9875
control,0.9915
control,0.9915
control,0.4408
control,0.9883
control,1.0
control,-0.9904
control,-0.9796
control,0.9955
control,0.9893
control,-0.9999
control,0.9953
control,0.9665
control,0.8877
control,-0.9998
control,-0.0751
control,-0.3902
control,0.818
control,0.9995
control,0.9995
control,0.9997
control,0.9995
control,0.9997
control,0.5671
control,-0.9937
control,-0.9998
control,-0.9998
control,-0.9971
control,0.8455
control,-0.9973
control,-0.4215
control,-0.3612
control,0.9595
control,-0.8798
control,0.9001
control,-0.9968
control,0.9985
control,0.9987
control,1.0
control,-0.9999
control,-0.9999
control,-0.9996
control,-1.0
control,-1.0
control,-0.9443
control,0.9996
control,-0.9999
control,1.0
control,-0.9999
control,-0.9999
control,-1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9969
control,-0.9989
control,-0.999
control,-0.9989
control,-0.999
control,-0.4404
control,-0.9984
control,-0.9999
control,-0.9988
control,-0.9999
control,0.0618
control,-0.9999
control,-0.9987
control,-0.9989
control,-0.993
control,-0.9448
control,-0.7174
control,-0.0191
control,-0.0191
control,-0.8868
control,-0.8868
control,-0.9892
control,-0.9664
control,-0.6896
control,-0.4135
control,-0.9859
control,-0.9496
control,-0.991
control,-0.9271
control,-0.9175
control,-0.998
control,-0.9271
control,-0.9779
control,-0.9779
control,-0.872
control,-0.9894
control,-0.872
control,-0.9625
control,0.8893
control,0.9291
control,-0.9376
control,0.9824
control,-0.9466
control,-0.991
control,-0.9751
control,-0.9992
control,-0.9684
control,0.9678
control,0.9723
control,-0.9948
control,-0.9909
control,0.9978
control,0.9978
control,0.5267
control,-0.9543
control,0.9649
control,-0.9983
control,0.9849
control,0.9141
control,0.9959
control,0.9997
control,-0.2893
control,0.3885
control,0.8894
control,0.8894
control,-0.2808
control,-0.991
control,-0.991
control,0.867
control,0.9385
control,-0.9854
control,-0.9906
control,-0.9988
control,-0.9886
control,0.9915
control,-0.9884
control,-0.9971
control,-0.9796
control,-0.9933
control,-0.9933
control,-0.9993
control,0.9976
control,0.7673
control,-0.9999
control,0.9935
control,0.9901
control,-0.9999
control,0.9982
control,0.9645
control,0.6808
control,0.7242
control,-0.8788
control,0.9807
control,-0.9924
control,-0.9924
control,-0.9996
control,0.5859
control,-0.984
control,-0.9723
control,-0.9995
control,-0.9875
control,-0.575
control,-0.7024
control,0.8658
control,-0.9726
control,-0.9726
control,-0.982
control,0.8862
control,-0.9975
control,-0.972
control,-0.9934
control,0.9875
control,0.9875
control,-0.9994
control,-0.9994
control,-0.9875
control,-0.9931
control,0.9915
control,0.4707
control,0.6209
control,-0.9957
control,0.7872
control,1.0
control,0.9839
control,-0.4115
control,0.9873
control,0.9981
control,0.9858
control,-0.9987
control,0.9955
control,0.9858
control,-0.9887
control,-0.9887
control,-0.9999
control,-0.9994
control,-0.9973
control,-0.994
control,0.9987
control,0.818
control,0.9986
control,0.9995
control,0.9926
control,0.9926
control,-0.9999
control,0.9997
control,0.9997
control,-0.9937
control,-0.3818
control,-0.9927
control,0.9953
control,-0.9251
control,0.9931
control,-0.9998
control,-0.9998
control,0.6808
control,0.8455
control,0.1197
control,-0.9996
control,-0.9996
control,0.9061
control,0.9312
control,-0.9971
control,0.998
control,-0.955
control,-0.9318
control,-0.9864
control,-0.9997
control,-0.9999
control,-0.9999
control,0.9995
control,0.9986
control,-1.0
control,-1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
rights,0.9416
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,0.6486
rights,0.7717
rights,0.9416
rights,0.8926
rights,0.9578
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,-0.9597
rights,0.1779
rights,0.1779
rights,-0.9998
rights,0.5904
rights,0.9606
rights,0.5746
rights,-0.9728
rights,-0.9886
rights,0.9985
rights,-0.9977
rights,-0.9999
rights,1.0
rights,-0.9597
rights,0.9398
rights,0.8225
rights,-0.9833
rights,-0.5861
rights,-0.9975
rights,-0.1449
rights,-0.1449
rights,0.7126
rights,0.9906
rights,-0.9903
rights,-0.9977
rights,0.9894
rights,0.9965
rights,0.9906
rights,0.9972
rights,0.9708
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,-1.0
rights,-0.9975
rights,0.979
rights,0.7126
rights,1.0
rights,-0.9456
rights,-0.9976
rights,-0.9968
rights,0.9989
rights,0.9974
rights,1.0
rights,0.9961
rights,0.7706
rights,-0.9998
rights,1.0
rights,0.9999
rights,1.0
rights,0.9999
rights,1.0
rights,1.0
rights,-1.0
rights,0.4939
rights,1.0
rights,1.0
rights,0.9999
rights,1.0
rights,0.9894
rights,0.9747
rights,0.9747
rights,0.9985
rights,-0.6124
rights,0.9963
rights,-0.9413
rights,0.4939
rights,0.7003
rights,0.5267
rights,0.4883
rights,-0.4215
rights,0.7126
rights,-0.9976
rights,0.9505
rights,0.9828
rights,0.9199
rights,0.2023
rights,0.9366
rights,0.7706
rights,0.9967
rights,-0.8594
rights,0.9992
rights,0.8338
rights,0.9995
rights,0.9996
rights,-0.9939
rights,0.9996
rights,0.9953
rights,0.34
rights,-0.9981
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,0.9881
rights,0.9747
rights,0.9747
rights,0.9042
rights,-0.8625
rights,-0.9935
rights,-0.9985
rights,-0.9955
rights,-0.994
rights,0.9963
rights,0.9963
rights,-0.9872
rights,0.9366
rights,-0.9995
rights,-0.9413
rights,0.9336
rights,0.9336
rights,0.9832
rights,0.9843
rights,-0.9981
rights,-0.9809
rights,0.7126
rights,-0.9868
rights,-0.6124
rights,-0.9976
rights,-0.9976
rights,0.9917
rights,-0.992
rights,0.9911
rights,0.9913
rights,0.9175
rights,0.4215
rights,0.9828
rights,0.9912
rights,0.9547
rights,0.9911
rights,-0.9962
rights,-0.9804
rights,0.9862
rights,0.9867
rights,0.9908
rights,0.7706
rights,0.9802
rights,0.9854
rights,0.987
rights,0.9994
rights,0.5267
rights,0.9996
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,0.97
rights,-0.9874
rights,-0.9931
rights,0.9964
rights,0.9985
rights,0.9921
rights,0.9366
rights,-0.9779
rights,0.9987
rights,0.9986
rights,-0.9995
rights,-1.0
rights,-1.0
rights,0.9336
rights,0.9336
rights,-0.9921
rights,-0.9921
rights,0.9971
rights,0.8745
rights,-0.9976
rights,-0.9052
rights,0.9175
rights,-0.9927
rights,0.4588
rights,-0.4767
rights,0.9828
rights,0.9939
rights,-0.875
rights,0.9901
rights,0.9901
rights,0.9997
rights,-0.9929
rights,-0.9367
rights,0.9908
rights,0.991
rights,0.9987
rights,-0.9996
rights,0.9724
rights,0.9983
rights,0.7003
rights,0.4939
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,-0.9921
rights,-0.991
rights,-0.99
rights,-0.9894
rights,-0.9878
rights,-0.9759
rights,-0.6369
rights,-0.539
rights,0.9665
rights,0.9934
rights,-0.9779
rights,0.9965
rights,0.9989
rights,-0.9991
rights,0.4767
rights,-1.0
rights,0.9959
rights,0.4939
rights,1.0
rights,0.9998
rights,0.8555
rights,-0.9915
rights,0.9736
rights,-0.9923
rights,-0.9976
rights,-0.9938
rights,-0.8402
rights,-0.9118
rights,-0.5676
rights,-0.6677
rights,0.991
rights,0.9987
rights,0.9978
rights,-0.9984
rights,0.9999
rights,1.0
rights,1.0
rights,1.0
rights,0.9841
rights,0.9811
rights,0.9874
rights,-0.978
rights,-0.978
rights,0.9965
rights,-0.9601
rights,0.9803
rights,0.9559
rights,-0.9779
rights,0.9953
rights,0.9993
rights,0.9993
rights,-1.0
rights,1.0
rights,1.0
rights,-0.9875
rights,-0.9875
rights,0.8555
rights,-0.978
rights,0.9736
rights,-0.9976
rights,0.8789
rights,-0.875
rights,0.8954
rights,0.9222
rights,0.9922
rights,0.9699
rights,0.995
rights,0.9191
rights,0.9894
rights,0.9894
rights,0.992
rights,0.9963
rights,0.9953
rights,1.0
rights,0.0
rights,1.0
rights,1.0
rights,1.0
rights,-1.0
rights,-0.978
rights,0.978
rights,0.9874
rights,0.9945
rights,0.9759
rights,-0.9779
rights,0.9904
rights,0.7003
rights,0.7003
rights,0.4019
rights,-0.9881
rights,0.9811
rights,0.8555
rights,0.987
rights,0.987
rights,0.2732
rights,0.8263
rights,-0.9595
rights,0.9736
rights,-0.9961
rights,-0.9982
rights,0.9609
rights,0.9789
rights,-0.9856
rights,0.9996
rights,0.9873
rights,-0.9936
rights,0.9992
rights,-0.9948
rights,0.992
rights,0.9957
rights,-0.9636
rights,0.9759
rights,0.993
rights,0.9994
rights,0.9989
rights,0.9999
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,0.9933
rights,0.978
rights,-0.9911
rights,0.9989
rights,0.9904
rights,-0.934
rights,-0.7125
rights,0.3818
rights,0.9811
rights,0.9231
rights,-0.9808
rights,0.8555
rights,-0.9897
rights,0.9774
rights,0.9329
rights,-0.9595
rights,-0.7904
rights,0.5719
rights,0.962
rights,-0.2185
rights,-0.9795
rights,-0.9986
rights,-0.9069
rights,0.9322
rights,0.953
rights,0.9505
rights,0.9719
rights,0.9901
rights,0.9286
rights,0.9901
rights,0.9923
rights,0.9759
rights,0.9961
rights,0.8313
rights,-0.9956
rights,1.0
rights,-0.8718
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,-1.0
rights,-0.0516
rights,-0.9967
rights,0.9895
rights,-0.9992
rights,0.997
rights,0.9501
rights,0.9951
rights,-0.9779
rights,0.9988
rights,0.999
rights,-0.9561
rights,0.9811
rights,0.9951
rights,0.9062
rights,0.9715
rights,0.9715
rights,-0.9795
rights,0.9337
rights,0.9001
rights,0.9329
rights,0.9712
rights,0.9712
rights,-0.9595
rights,-0.9595
rights,0.9372
rights,0.886
rights,0.9992
rights,0.9992
rights,0.8126
rights,0.9976
rights,0.9917
rights,0.2023
rights,0.9902
rights,0.5648
rights,0.9914
rights,-0.8542
rights,-0.8542
rights,0.9946
rights,0.9725
rights,0.9322
rights,0.9322
rights,0.9887
rights,0.9666
rights,-0.8402
rights,0.9918
rights,0.9904
rights,-0.9962
rights,0.9759
rights,0.9759
rights,0.9923
rights,0.9957
rights,-0.9887
rights,0.9989
rights,-0.9957
rights,0.999
rights,0.9997
rights,0.9989
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,1.0
rights,0.9904
rights,-0.9928
rights,-0.8316
rights,-0.9854
rights,0.9907
rights,0.9907
rights,-0.9972
rights,-0.9825
rights,-0.0772
rights,0.9811
rights,0.9062
rights,0.9062
rights,0.9715
rights,0.9715
rights,0.9712
rights,0.9781
rights,0.8126
rights,0.8126
rights,0.9759
rights,-0.7624
rights,-0.2366
rights,0.8006
rights,-0.9595
rights,0.9324
rights,0.9821
rights,0.9821
rights,0.5034
rights,-0.9798
rights,-0.9798
